# time  created  delivered  delivered/created
31.0000 1 0 0.0000
62.0000 2 0 0.0000
92.0000 3 0 0.0000
123.0000 4 0 0.0000
153.0000 5 0 0.0000
184.0000 6 0 0.0000
215.0000 7 0 0.0000
245.0000 8 0 0.0000
276.0000 9 0 0.0000
307.0000 10 0 0.0000
337.0000 11 0 0.0000
368.0000 12 0 0.0000
398.0000 13 0 0.0000
428.0000 14 0 0.0000
458.0000 15 0 0.0000
489.0000 16 0 0.0000
519.0000 17 0 0.0000
550.0000 18 0 0.0000
581.0000 19 0 0.0000
612.0000 20 0 0.0000
642.0000 21 0 0.0000
673.0000 22 0 0.0000
703.0000 23 0 0.0000
733.0000 24 0 0.0000
763.0000 25 0 0.0000
794.0000 26 0 0.0000
825.0000 27 0 0.0000
856.0000 28 0 0.0000
887.0000 29 0 0.0000
918.0000 30 0 0.0000
949.0000 31 0 0.0000
980.0000 32 0 0.0000
1011.0000 33 0 0.0000
1041.0000 34 0 0.0000
1072.0000 35 0 0.0000
1103.0000 36 0 0.0000
1133.0000 37 0 0.0000
1164.0000 38 0 0.0000
1195.0000 39 0 0.0000
1225.0000 40 0 0.0000
1255.0000 41 0 0.0000
1285.0000 42 0 0.0000
1316.0000 43 0 0.0000
1347.0000 44 0 0.0000
1377.0000 45 0 0.0000
1408.0000 46 0 0.0000
1438.0000 47 0 0.0000
1469.0000 48 0 0.0000
1499.0000 49 0 0.0000
1529.0000 50 0 0.0000
1560.0000 51 0 0.0000
1590.0000 52 0 0.0000
1620.0000 53 0 0.0000
1651.0000 54 0 0.0000
1681.0000 55 0 0.0000
1712.0000 56 0 0.0000
1743.0000 57 0 0.0000
1774.0000 58 0 0.0000
1805.0000 59 0 0.0000
1835.0000 60 0 0.0000
1866.0000 61 0 0.0000
1897.0000 62 0 0.0000
1928.0000 63 0 0.0000
1958.0000 64 0 0.0000
1988.0000 65 0 0.0000
2018.0000 66 0 0.0000
2049.0000 67 0 0.0000
2080.0000 68 0 0.0000
2110.0000 69 0 0.0000
2141.0000 70 0 0.0000
2171.0000 71 0 0.0000
2202.0000 72 0 0.0000
2232.0000 73 0 0.0000
2262.0000 74 0 0.0000
2292.0000 75 0 0.0000
2323.0000 76 0 0.0000
2354.0000 77 0 0.0000
2384.0000 78 0 0.0000
2414.0000 79 0 0.0000
2445.0000 80 0 0.0000
2475.0000 81 0 0.0000
2506.0000 82 0 0.0000
2536.0000 83 0 0.0000
2567.0000 84 0 0.0000
2597.0000 85 0 0.0000
2627.0000 86 0 0.0000
