# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
264072.4000 M8535 987890 4 3706.4000 p43 p30 n/a N p43->p3->p70->p48->p20
265247.6000 M8635 837267 1 1832.6000 p14 p79 n/a N p14->p61
265367.2000 M8695 534680 1 120.2000 p66 p5 n/a N p66->p51
266042.3000 M8683 787531 1 1161.3000 p32 p9 n/a N p32->p72
266395.9000 M8699 630120 1 1027.9000 p70 p35 n/a N p70->p28
266687.8000 M8611 953755 1 4004.8000 p3 p54 n/a N p3->p30
267113.4000 M8660 746719 2 2935.4000 p57 p72 n/a N p57->p48->p72
267113.4000 M8587 930731 2 5158.4000 p71 p43 n/a N p71->p48->p72
267115.7000 M8587 930731 2 5160.7000 p71 p43 n/a N p71->p48->p10
267223.5000 M8725 577083 3 1066.5000 p48 p41 n/a N p48->p72->p10->p6
267267.1000 M8678 920756 1 2538.1000 p73 p77 n/a N p73->p14
267306.5000 M8622 850632 1 4290.5000 p1 p67 n/a N p1->p78
267856.8000 M8737 875109 1 1334.8000 p41 p88 n/a N p41->p28
267856.8000 M8634 726342 1 4472.8000 p41 p11 n/a N p41->p28
267856.8000 M8775 997703 1 171.8000 p41 p10 n/a N p41->p28
268496.3000 M8729 687461 2 2218.3000 p58 p32 n/a N p58->p62->p82
268613.8000 M8505 585135 1 9164.8000 p21 p17 n/a N p21->p6
268613.8000 M8609 617614 3 5991.8000 p70 p53 n/a N p70->p48->p6->p21
269046.5000 M8509 686746 1 9473.5000 p8 p26 n/a N p8->p22
269789.1000 M8713 641486 2 3995.1000 p59 p28 n/a N p59->p94->p13
269970.7000 M8639 846972 1 6432.7000 p54 p81 n/a N p54->p94
270313.4000 M8672 619035 1 5768.4000 p9 p48 n/a N p9->p90
270498.3000 M8846 634207 2 646.3000 p12 p13 n/a N p12->p50->p76
270498.3000 M8514 911805 5 10775.3000 p69 p29 n/a N p69->p83->p11->p27->p76->p50
270602.2000 M8529 793485 2 10419.2000 p37 p77 n/a N p37->p81->p76
