# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4536.5000 M62 745934 1 2639.5000 p79 p21 n/a N p79->p21
4552.3000 M93 592981 2 1710.3000 p83 p4 n/a N p83->p60->p4
5775.7000 M42 889225 3 4490.7000 p60 p77 n/a N p60->p83->p42->p77
6210.7000 M147 664885 4 1718.7000 p9 p48 n/a N p9->p87->p99->p16->p48
6536.7000 M112 952005 2 3113.7000 p40 p69 n/a N p40->p95->p69
6540.4000 M8 913877 2 6295.4000 p83 p69 n/a N p83->p95->p69
6587.1000 M47 734776 3 5149.1000 p56 p75 n/a N p56->p33->p16->p75
6739.3000 M49 955987 1 5240.3000 p33 p87 n/a N p33->p87
6892.3000 M89 616020 1 4173.3000 p31 p58 n/a N p31->p58
7122.7000 M211 725483 2 679.7000 p4 p6 n/a N p4->p97->p6
7193.7000 M196 776404 1 1210.7000 p16 p54 n/a N p16->p54
7268.5000 M53 883685 1 5648.5000 p39 p78 n/a N p39->p78
7314.3000 M68 649807 2 5234.3000 p60 p41 n/a N p60->p49->p41
7359.2000 M94 655764 1 4486.2000 p26 p52 n/a N p26->p52
7395.8000 M69 580609 3 5285.8000 p36 p72 n/a N p36->p24->p52->p72
7445.4000 M23 555510 3 6742.4000 p33 p73 n/a N p33->p56->p6->p73
7467.4000 M125 524397 2 3647.4000 p59 p39 n/a N p59->p8->p39
7644.9000 M58 837610 2 5870.9000 p32 p65 n/a N p32->p51->p65
7662.1000 M190 535919 3 1860.1000 p68 p27 n/a N p68->p64->p93->p27
7667.6000 M124 749177 2 3878.6000 p56 p20 n/a N p56->p73->p20
7679.5000 M184 753114 1 2059.5000 p14 p68 n/a N p14->p68
7750.8000 M185 502540 1 2099.8000 p62 p88 n/a N p62->p88
7996.3000 M41 838158 3 6741.3000 p89 p41 n/a N p89->p34->p16->p41
7998.5000 M145 549490 1 3567.5000 p41 p16 n/a N p41->p16
8237.3000 M61 640531 3 6371.3000 p3 p21 n/a N p3->p24->p52->p21
8580.1000 M231 717579 2 1525.1000 p85 p76 n/a N p85->p2->p76
8916.6000 M118 682174 3 5310.6000 p17 p37 n/a N p17->p28->p86->p37
8920.6000 M15 991397 2 8462.6000 p53 p37 n/a N p53->p86->p37
9577.4000 M101 827479 4 6490.4000 p81 p67 n/a N p81->p96->p47->p19->p67
10001.7000 M84 745447 3 7434.7000 p56 p31 n/a N p56->p33->p99->p31
10702.0000 M149 642191 4 6149.0000 p32 p17 n/a N p32->p94->p85->p2->p17
10704.6000 M65 628836 1 8716.6000 p17 p2 n/a N p17->p2
10808.1000 M313 720425 1 1248.1000 p70 p14 n/a N p70->p14
10839.4000 M48 884863 2 9370.4000 p16 p89 n/a N p16->p48->p89
11230.3000 M146 758878 3 6769.3000 p42 p48 n/a N p42->p58->p98->p48
11566.7000 M70 766484 3 9425.7000 p69 p34 n/a N p69->p5->p78->p34
11640.0000 M26 546679 1 10846.0000 p63 p35 n/a N p63->p35
11790.0000 M356 602461 1 917.0000 p88 p34 n/a N p88->p34
11812.2000 M349 595090 1 1154.2000 p33 p60 n/a N p33->p60
11844.9000 M5 874671 2 11691.9000 p88 p24 n/a N p88->p67->p24
11993.0000 M216 976916 3 5395.0000 p85 p32 n/a N p85->p2->p47->p32
12487.2000 M1 618834 3 12456.2000 p0 p60 n/a N p0->p7->p67->p60
12772.0000 M271 998284 2 4494.0000 p48 p15 n/a N p48->p36->p15
12849.8000 M98 727857 5 9855.8000 p12 p13 n/a N p12->p70->p17->p23->p93->p13
12909.7000 M110 839088 3 9547.7000 p10 p26 n/a N p10->p68->p84->p26
12958.3000 M88 607095 5 10270.3000 p24 p30 n/a N p24->p3->p64->p93->p12->p30
13115.1000 M105 744700 2 9905.1000 p34 p28 n/a N p34->p99->p28
13183.8000 M19 580040 3 12602.8000 p0 p25 n/a N p0->p7->p65->p25
13186.4000 M80 626408 3 10741.4000 p26 p65 n/a N p26->p44->p25->p65
13458.2000 M395 831813 1 1395.2000 p63 p29 n/a N p63->p29
13459.1000 M39 983915 3 12264.1000 p53 p11 n/a N p53->p29->p88->p11
13487.0000 M366 592389 1 2308.0000 p7 p79 n/a N p7->p79
13492.1000 M119 796528 1 9855.1000 p17 p49 n/a N p17->p49
13495.4000 M387 813514 1 1675.4000 p17 p49 n/a N p17->p49
13642.0000 M96 821242 2 10709.0000 p41 p25 n/a N p41->p14->p25
13645.8000 M129 936232 2 9702.8000 p69 p25 n/a N p69->p14->p25
13648.3000 M121 603880 1 9951.3000 p25 p14 n/a N p25->p14
13704.4000 M3 968122 4 13612.4000 p44 p0 n/a N p44->p26->p52->p21->p0
13946.4000 M260 541494 2 6007.4000 p90 p54 n/a N p90->p41->p54
14013.5000 M6 661032 6 13829.5000 p45 p22 n/a N p45->p51->p94->p86->p83->p37->p22
14127.5000 M91 920835 2 11346.5000 p29 p13 n/a N p29->p1->p13
14374.0000 M214 723116 1 7838.0000 p37 p1 n/a N p37->p1
14385.1000 M43 596711 5 13069.1000 p1 p50 n/a N p1->p29->p92->p70->p14->p50
14388.5000 M34 844772 2 13347.5000 p58 p50 n/a N p58->p14->p50
14537.9000 M90 663625 1 11787.9000 p50 p82 n/a N p50->p82
14547.6000 M169 610098 2 9385.6000 p14 p5 n/a N p14->p67->p5
14724.4000 M133 793385 3 10658.4000 p87 p6 n/a N p87->p64->p68->p6
14724.7000 M403 783893 1 2416.7000 p82 p14 n/a N p82->p14
14760.1000 M276 776460 1 6329.1000 p84 p72 n/a N p84->p72
14883.8000 M393 827059 1 2880.8000 p28 p5 n/a N p28->p5
14886.5000 M173 664855 2 9603.5000 p69 p28 n/a N p69->p5->p28
14888.7000 M32 531670 2 13908.7000 p78 p28 n/a N p78->p5->p28
15089.5000 M209 714314 1 8708.5000 p38 p15 n/a N p38->p15
15125.9000 M55 928171 1 13444.9000 p75 p9 n/a N p75->p9
15150.3000 M164 659543 2 10139.3000 p52 p90 n/a N p52->p72->p90
15153.5000 M56 782957 3 13441.5000 p58 p90 n/a N p58->p26->p72->p90
15227.4000 M17 790517 4 14708.4000 p59 p28 n/a N p59->p8->p56->p6->p28
15229.5000 M235 503057 2 8051.5000 p56 p28 n/a N p56->p6->p28
15523.4000 M182 706440 3 9963.4000 p3 p14 n/a N p3->p56->p6->p14
15597.3000 M87 990325 2 12940.3000 p38 p90 n/a N p38->p19->p90
15671.5000 M77 598670 3 13317.5000 p85 p6 n/a N p85->p21->p84->p6
15723.2000 M358 627256 4 4788.2000 p30 p78 n/a N p30->p82->p14->p90->p78
15725.7000 M103 602605 5 12577.7000 p15 p78 n/a N p15->p64->p93->p27->p90->p78
16073.6000 M74 766315 3 13811.6000 p48 p64 n/a N p48->p46->p45->p64
16102.5000 M28 627290 2 15246.5000 p74 p39 n/a N p74->p28->p39
