# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
265855.2000 M8696 855593 1 578.2000 p78 p55 n/a N p78->p55
267113.4000 M8660 746719 2 2935.4000 p57 p72 n/a N p57->p48->p72
267267.1000 M8739 517998 2 685.1000 p33 p73 n/a N p33->p14->p73
270130.7000 M8563 884648 2 8908.7000 p47 p54 n/a N p47->p42->p54
270681.3000 M8509 686746 1 11108.3000 p8 p26 n/a N p8->p26
273550.3000 M8946 627597 1 642.3000 p18 p63 n/a N p18->p63
274468.4000 M8807 884717 3 5810.4000 p20 p86 n/a N p20->p26->p8->p86
274530.7000 M8771 846872 2 6966.7000 p17 p85 n/a N p17->p99->p85
274573.0000 M8737 875109 1 8051.0000 p41 p88 n/a N p41->p88
274720.1000 M8922 951637 2 2546.1000 p56 p32 n/a N p56->p73->p32
275976.6000 M8836 931903 2 6431.6000 p22 p69 n/a N p22->p26->p69
277405.5000 M9067 713058 1 809.5000 p23 p28 n/a N p23->p28
278773.4000 M8674 569558 1 14166.4000 p87 p57 n/a N p87->p57
279507.1000 M9022 693479 1 4282.1000 p27 p7 n/a N p27->p7
279556.0000 M8956 826082 1 6341.0000 p12 p67 n/a N p12->p67
279859.1000 M9024 647848 1 4574.1000 p87 p35 n/a N p87->p35
280589.2000 M9192 701027 2 176.2000 p84 p62 n/a N p84->p38->p62
281006.2000 M9200 977626 1 348.2000 p89 p90 n/a N p89->p90
282501.1000 M9180 609785 2 2454.1000 p68 p10 n/a N p68->p6->p10
283538.4000 M9234 716990 3 1843.4000 p82 p6 n/a N p82->p10->p13->p6
284187.8000 M9264 905309 1 1580.8000 p8 p45 n/a N p8->p45
287377.6000 M9362 716709 3 1775.6000 p19 p89 n/a N p19->p33->p11->p89
287764.1000 M9126 519731 2 9366.1000 p24 p54 n/a N p24->p81->p54
287832.2000 M8688 884017 3 22798.2000 p84 p39 n/a N p84->p31->p79->p39
289967.6000 M9415 515444 1 2745.6000 p56 p60 n/a N p56->p60
291603.3000 M8941 514275 2 18848.3000 p54 p6 n/a N p54->p68->p6
292163.0000 M9131 616927 2 13613.0000 p12 p11 n/a N p12->p67->p11
292537.2000 M9568 758894 1 635.2000 p57 p9 n/a N p57->p9
292958.3000 M9591 896619 1 354.3000 p45 p28 n/a N p45->p28
295097.4000 M9588 544568 1 2585.4000 p15 p55 n/a N p15->p55
295240.6000 M8796 871231 4 26915.6000 p42 p87 n/a N p42->p54->p98->p10->p87
295423.3000 M8859 747532 2 25174.3000 p86 p90 n/a N p86->p15->p90
295899.4000 M8579 658709 1 34187.4000 p6 p24 n/a N p6->p24
296753.2000 M9720 655735 1 205.2000 p64 p62 n/a N p64->p62
299978.3000 M9537 853932 1 9024.3000 p1 p28 n/a N p1->p28
301306.4000 M9389 995423 2 14881.4000 p65 p1 n/a N p65->p24->p1
301798.8000 M9560 527210 2 10141.8000 p1 p28 n/a N p1->p86->p28
302501.4000 M9549 848333 2 11181.4000 p4 p69 n/a N p4->p60->p69
302566.5000 M9634 828459 4 8648.5000 p69 p76 n/a N p69->p21->p33->p50->p76
303142.4000 M9635 846576 2 9193.4000 p86 p72 n/a N p86->p0->p72
303675.8000 M9595 879099 3 10951.8000 p55 p11 n/a N p55->p90->p19->p11
303675.8000 M9766 560829 3 5726.8000 p31 p11 n/a N p31->p23->p19->p11
303854.6000 M8996 994370 2 29421.6000 p27 p76 n/a N p27->p28->p76
304492.8000 M8843 577665 6 34732.8000 p68 p18 n/a N p68->p65->p52->p67->p28->p3->p18
305688.4000 M9267 996540 3 22988.4000 p15 p56 n/a N p15->p87->p93->p56
306091.6000 M9652 823028 1 11619.6000 p63 p77 n/a N p63->p77
